gene	species
GUT_GENOME061776_01103	100003
GUT_GENOME061776_01395	100003
GUT_GENOME061776_01916	100003
GUT_GENOME063049_00956	100003
GUT_GENOME063049_01929	100003
GUT_GENOME063049_01954	100003
GUT_GENOME063987_00188	100003
GUT_GENOME063987_01013	100003
GUT_GENOME063987_01434	100003
GUT_GENOME065930_00352	100003
GUT_GENOME068402_01079	100003
GUT_GENOME068777_00189	100003
GUT_GENOME069994_01344	100003
GUT_GENOME070343_00952	100003
GUT_GENOME070343_01382	100003
GUT_GENOME070343_01710	100003
GUT_GENOME074422_00084	100003
GUT_GENOME074441_00740	100003
GUT_GENOME077735_01110	100003
GUT_GENOME078079_00266	100003
GUT_GENOME080583_01763	100003
GUT_GENOME080795_01480	100003
GUT_GENOME081390_00180	100003
GUT_GENOME081390_00406	100003
GUT_GENOME081943_01409	100003
GUT_GENOME082452_01534	100003
GUT_GENOME083149_01574	100003
GUT_GENOME083645_01560	100003
GUT_GENOME084014_00093	100003
GUT_GENOME084014_01555	100003
GUT_GENOME084670_00283	100003
GUT_GENOME085260_01122	100003
GUT_GENOME085637_01527	100003
GUT_GENOME086560_01271	100003
GUT_GENOME086632_00386	100003
GUT_GENOME086685_00754	100003
GUT_GENOME087627_01834	100003
GUT_GENOME095241_01599	100003
GUT_GENOME095278_00811	100003
GUT_GENOME095506_00037	100003
GUT_GENOME095506_00226	100003
GUT_GENOME095506_00464	100003
GUT_GENOME095506_02311	100003
GUT_GENOME095617_01050	100003
GUT_GENOME095806_00561	100003
GUT_GENOME096197_00198	100003
GUT_GENOME096197_00199	100003
GUT_GENOME096197_00238	100003
GUT_GENOME096197_02802	100003
GUT_GENOME096681_01374	100003
GUT_GENOME097873_00090	100003
GUT_GENOME098589_00455	100003
GUT_GENOME098589_00510	100003
GUT_GENOME098589_00685	100003
GUT_GENOME098589_01121	100003
GUT_GENOME098589_01677	100003
GUT_GENOME098589_01936	100003
GUT_GENOME098782_01883	100003
GUT_GENOME100080_00786	100003
GUT_GENOME100080_01923	100003
GUT_GENOME100198_00236	100003
GUT_GENOME100252_00231	100003
GUT_GENOME100670_00089	100003
GUT_GENOME101112_01708	100003
GUT_GENOME101361_01811	100003
GUT_GENOME101394_01334	100003
GUT_GENOME102063_00164	100003
GUT_GENOME102114_01209	100003
GUT_GENOME102165_01614	100003
GUT_GENOME102184_01582	100003
GUT_GENOME102184_01966	100003
GUT_GENOME102279_00232	100003
GUT_GENOME102279_01605	100003
GUT_GENOME102433_00864	100003
GUT_GENOME102503_01647	100003
GUT_GENOME102595_00858	100003
GUT_GENOME102595_01623	100003
GUT_GENOME102623_00029	100003
